timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
607743984383085,0.0286502,-0.092959,0.0503139,-2.69116,8.55235,4.36955
607743988385785,0.0225415,-0.134498,0.0790246,-2.76539,8.58826,4.31448
607743992388451,0.024985,-0.159543,0.106514,-2.82046,8.62178,4.26899
607743996391151,0.024985,-0.187032,0.129726,-2.83722,8.62657,4.25223
607744000393784,0.024985,-0.223684,0.152939,-2.81327,8.60981,4.25223
607744004396484,0.0219307,-0.242621,0.17493,-2.68159,8.5715,4.27618
607744008399184,0.0127677,-0.236512,0.180428,-2.56427,8.55953,4.22829
607744012401884,0.00971337,-0.215743,0.185926,-2.45653,8.50925,4.14928
607744016404584,0.00543731,-0.177869,0.188369,-2.30808,8.45418,4.15886
607744020407284,-0.000671341,-0.148548,0.183483,-2.22428,8.39433,4.14688
607744024409917,-0.00800172,-0.108231,0.175541,-2.20034,8.39433,4.14688
607744028412617,-0.0208299,-0.0709679,0.1676,-2.21231,8.37517,4.08942
607744032415317,-0.0379341,-0.0508093,0.161491,-2.20513,8.4063,4.04632
607744036417983,-0.0409884,-0.0392029,0.155383,-2.24344,8.447,4.0152
607744040420683,-0.0550383,-0.0318725,0.155383,-2.28174,8.46616,4.01759
607744044423349,-0.0642013,-0.0312616,0.143776,-2.26498,8.49489,4.07027
607744048426049,-0.0758078,-0.0447007,0.141333,-2.28174,8.49968,4.14688
607744052433915,-0.0806947,-0.0648592,0.147441,-2.36794,8.5332,4.19716
607744056436615,-0.0800838,-0.102733,0.15355,-2.47089,8.56193,4.26181
607744060439315,-0.079473,-0.142439,0.144387,-2.53075,8.61699,4.34082
607744064441981,-0.079473,-0.188254,0.149885,-2.5523,8.61221,4.42462
607744068444714,-0.0666448,-0.241399,0.155383,-2.53314,8.59305,4.51081
607744072447414,-0.0574818,-0.278051,0.168211,-2.52117,8.58108,4.60419
607744076454314,-0.0489297,-0.318979,0.168211,-2.51159,8.58587,4.67602
607744080456980,-0.0379341,-0.36907,0.181039,-2.52357,8.5715,4.7239
607744084459680,-0.0183864,-0.428324,0.195089,-2.5092,8.57629,4.77658
607744088462346,-0.0104452,-0.450926,0.206695,-2.47568,8.55714,4.75024
607744092465046,0.00604818,-0.474139,0.217691,-2.45653,8.52841,4.74545
607744096467779,0.0243741,-0.485135,0.241515,-2.40625,8.53798,4.76461
607744100470445,0.0286502,-0.480248,0.260452,-2.33202,8.53798,4.73109
607744104473111,0.0347588,-0.468641,0.276334,-2.31766,8.54277,4.67362
607744108475811,0.043311,-0.448483,0.292827,-2.30808,8.5332,4.63532
607744112478511,0.0549174,-0.415496,0.318484,-2.27217,8.57629,4.64729
607744116481211,0.05675,-0.395337,0.333755,-2.23625,8.59784,4.59701
607744120483944,0.0585826,-0.373957,0.342308,-2.14048,8.56193,4.58025
607744124486577,0.0726325,-0.337305,0.347194,-2.08062,8.50686,4.56349
607744128489277,0.0830172,-0.306762,0.352081,-1.99683,8.47334,4.54912
607744132491943,0.0934019,-0.268888,0.339864,-1.93457,8.43982,4.53476
607744136494609,0.100121,-0.232847,0.332534,-1.86275,8.43742,4.49166
